"Mixture"	"Cyt"
"TCGA-A6-6780-01B-04R-A277-07"	23.611674761694
"TCGA-A6-6781-01A-22R-1928-07"	51.1328602459987
"TCGA-A6-6781-01A-22R-A278-07"	29.3673304403021
"TCGA-A6-6781-01B-06R-A277-07"	14.9978325298802
"TCGA-A6-6782-01A-11R-1839-07"	23.4195081343214
"TCGA-A6-A565-01A-31R-A28H-07"	26.5552083166209
"TCGA-A6-A566-01A-11R-A28H-07"	42.9885185499254
"TCGA-A6-A567-01A-31R-A28H-07"	4.94625499499559
"TCGA-A6-A56B-01A-31R-A28H-07"	2.72393276166502
"TCGA-A6-A5ZU-01A-11R-A28H-07"	27.8954231605173
"TCGA-AA-3488-01A-01R-1410-07"	5.83877430156853
"TCGA-AA-3489-01A-21R-1839-07"	36.2876828629832
"TCGA-AA-3489-11A-01R-1839-07"	43.255567307721
"TCGA-AA-3492-01A-01R-1410-07"	26.5416537277539
"TCGA-AA-3494-01A-01R-1410-07"	8.10149038516292
"TCGA-AA-3495-01A-01R-1410-07"	13.5542406617373
"TCGA-AA-3496-01A-21R-1839-07"	21.1119585243764
"TCGA-AA-3496-11A-01R-1839-07"	20.3406254050114
"TCGA-AA-3502-01A-01R-1410-07"	7.16002938081912
"TCGA-AA-3506-01A-01R-1410-07"	13.4636495725729
"TCGA-AA-3509-01A-01R-1410-07"	11.9169849051836
"TCGA-AA-3510-01A-01R-1410-07"	16.2684780011616
"TCGA-AA-3511-01A-21R-1839-07"	8.47949990164442
"TCGA-AA-3511-11A-01R-1839-07"	17.9690965459762
"TCGA-AA-3514-01A-02R-0821-07"	3.30493447966775
"TCGA-AA-3514-11A-01R-A32Z-07"	163.329113962548
"TCGA-AA-3516-01A-02R-0826-07"	21.5124182568067
"TCGA-AA-3516-11A-01R-A32Z-07"	46.3604276190112
"TCGA-AA-3517-01A-01R-0821-07"	16.79561957273
"TCGA-AA-3517-11A-01R-A32Z-07"	34.7842997074937
"TCGA-AA-3518-01A-02R-0826-07"	31.117391691766
"TCGA-AA-3518-11A-01R-1672-07"	27.3222825612989
"TCGA-AA-3519-01A-02R-0821-07"	5.14582909650645
"TCGA-AA-3520-01A-01R-0821-07"	6.45327759770044
"TCGA-AA-3520-11A-01R-A32Z-07"	19.9224089500385
"TCGA-AA-3521-01A-01R-0821-07"	7.01077065286383
"TCGA-AA-3522-01A-01R-0821-07"	6.80063210384917
"TCGA-AA-3522-11A-01R-A32Z-07"	21.0122682637428
"TCGA-AA-3524-01A-02R-0821-07"	21.2304015714114
"TCGA-AA-3525-01A-02R-0826-07"	12.0212869551466
"TCGA-AA-3525-11A-01R-A32Z-07"	43.775591869332
"TCGA-AA-3526-01A-02R-A32Z-07"	17.7987552415415
"TCGA-AA-3527-01A-01R-0821-07"	6.93457470047942
"TCGA-AA-3527-11A-01R-A32Z-07"	36.6733683424476
"TCGA-AA-3529-01A-02R-0821-07"	6.14351354690027
"TCGA-AA-3530-01A-01R-1022-07"	9.57008487297204
"TCGA-AA-3531-01A-01R-0821-07"	4.28353916465333
"TCGA-AA-3531-11A-01R-A32Z-07"	26.7403750511931
"TCGA-AA-3532-01A-01R-0821-07"	21.1957829358103
"TCGA-AA-3534-01A-01R-0821-07"	6.46531342231924
"TCGA-AA-3534-11A-01R-A32Z-07"	21.2495873568154
"TCGA-AA-3538-01A-01R-0821-07"	6.91608707906643
"TCGA-AA-3542-01A-02R-1873-07"	2.05734566038548
"TCGA-AA-3543-01A-01R-0826-07"	46.0517318429389
"TCGA-AA-3544-01A-01R-1873-07"	38.221787234499
"TCGA-AA-3548-01A-01R-1873-07"	11.6015275561614
"TCGA-AA-3549-01A-02R-0821-07"	13.6654781121127
"TCGA-AA-3552-01A-01R-0821-07"	12.9275961054483
"TCGA-AA-3553-01A-01R-0821-07"	30.9560991434468
"TCGA-AA-3554-01A-01R-0826-07"	16.9571994018462
"TCGA-AA-3555-01A-01R-0821-07"	11.9151844648934
"TCGA-AA-3556-01A-01R-0821-07"	19.3437470871012
"TCGA-AA-3560-01A-01R-0821-07"	8.95733176451364
"TCGA-AA-3561-01A-01R-0821-07"	4.78703648540766
"TCGA-AA-3562-01A-02R-0821-07"	7.51933246197492
"TCGA-AA-3655-01A-02R-1723-07"	8.56750937151849
"TCGA-AA-3655-11A-01R-1723-07"	32.0950049714396
"TCGA-AA-3660-01A-01R-1723-07"	15.7297067353291
"TCGA-AA-3660-11A-01R-1723-07"	44.3857657899694
"TCGA-AA-3662-01A-01R-1723-07"	45.0723202176409
"TCGA-AA-3662-11A-01R-1723-07"	26.5394098251978
"TCGA-AA-3663-01A-01R-1723-07"	9.02326494764343
"TCGA-AA-3663-11A-01R-1723-07"	14.7004696285068
"TCGA-AA-3664-01A-01R-0905-07"	15.3449746997605
"TCGA-AA-3666-01A-02R-0905-07"	13.8865710444114
"TCGA-AA-3667-01A-01R-0905-07"	8.68806474177639
"TCGA-AA-3672-01A-01R-0905-07"	34.7907993837273
"TCGA-AA-3673-01A-01R-0905-07"	9.34547820967098
"TCGA-AA-3675-01A-02R-0905-07"	3.72305428269878
"TCGA-AA-3678-01A-01R-0905-07"	15.3140203226083
"TCGA-AA-3679-01A-02R-0905-07"	31.5701131967603
"TCGA-AA-3680-01A-01R-0905-07"	12.5142664107848
"TCGA-AA-3681-01A-01R-0905-07"	24.0527548630641
"TCGA-AA-3684-01A-02R-0905-07"	12.6658356233353
"TCGA-AA-3685-01A-02R-A32Z-07"	18.6362507849663
"TCGA-AA-3688-01A-01R-0905-07"	7.50963765730506
"TCGA-AA-3692-01A-01R-0905-07"	7.05174876303031
"TCGA-AA-3693-01A-01R-0905-07"	10.2447105830575
"TCGA-AA-3696-01A-01R-0905-07"	2.58718834358906
"TCGA-AA-3697-01A-01R-1723-07"	12.3662451801209
"TCGA-AA-3697-11A-01R-1723-07"	23.5470198325573
"TCGA-AA-3710-01A-01R-1022-07"	81.9352651200252
"TCGA-AA-3712-01A-21R-1723-07"	15.5339923982805
"TCGA-AA-3712-11A-01R-1723-07"	16.8086120209871
"TCGA-AA-3713-01A-21R-1723-07"	49.3915752288279
"TCGA-AA-3713-11A-01R-1723-07"	29.621271529235
"TCGA-AA-3715-01A-01R-0905-07"	55.1134212366252
"TCGA-AA-3811-01A-01R-1022-07"	16.4242603414075
"TCGA-AA-3812-01A-01R-0905-07"	3.69968587433726
"TCGA-AA-3814-01A-01R-0905-07"	12.4150135191542
"TCGA-AA-3815-01A-01R-1022-07"	85.4995356759478
"TCGA-AA-3818-01A-01R-0905-07"	9.61188200670548
"TCGA-AA-3819-01A-01R-0905-07"	4.31659341231021
"TCGA-AA-3821-01A-01R-1022-07"	21.3561183259413
"TCGA-AA-3831-01A-01R-0905-07"	7.71706356548717
"TCGA-AA-3833-01A-01R-0905-07"	18.899884085677
"TCGA-AA-3837-01A-01R-0905-07"	7.06946874081609
"TCGA-AA-3841-01A-01R-0905-07"	16.0302100396307
"TCGA-AA-3842-01A-01R-1022-07"	10.5797528892226
"TCGA-AA-3844-01A-01R-1022-07"	18.739595249192
"TCGA-AA-3845-01A-01R-1022-07"	64.864291581801
"TCGA-AA-3846-01A-01R-1022-07"	25.8940716406405
"TCGA-AA-3848-01A-01R-0905-07"	4.79210734619417
"TCGA-AA-3850-01A-01R-1022-07"	8.70523842126105
"TCGA-AA-3851-01A-01R-1022-07"	7.37554477543446
"TCGA-AA-3852-01A-01R-0905-07"	10.3175090971969
"TCGA-AA-3854-01A-01R-0905-07"	5.61870910069112
"TCGA-AA-3855-01A-01R-1022-07"	15.7933562172198
"TCGA-AA-3856-01A-01R-0905-07"	20.1477203392908
"TCGA-AA-3858-01A-01R-0905-07"	6.84594708706314
"TCGA-AA-3860-01A-02R-0905-07"	15.3594143567553
"TCGA-AA-3861-01A-01R-1022-07"	8.89953319112849
"TCGA-AA-3862-01A-01R-1022-07"	20.1508179684518
"TCGA-AA-3864-01A-01R-1022-07"	12.9407576466725
"TCGA-AA-3866-01A-01R-1022-07"	22.9616809147063
"TCGA-AA-3867-01A-01R-1022-07"	5.74464859166223
"TCGA-AA-3869-01A-01R-1022-07"	17.7029621828633
"TCGA-AA-3870-01A-01R-1022-07"	27.2303861518767
"TCGA-AA-3872-01A-01R-1022-07"	11.2310036397215
"TCGA-AA-3875-01A-01R-0905-07"	16.3566572976461
"TCGA-AA-3877-01A-01R-1022-07"	23.3566793076862
"TCGA-AA-3930-01A-01R-1022-07"	29.0566120041466
"TCGA-AA-3939-01A-01R-1022-07"	6.39398118594784
"TCGA-AA-3941-01A-01R-1022-07"	11.5138759181768
"TCGA-AA-3947-01A-01R-1022-07"	12.6331455796082
"TCGA-AA-3949-01A-01R-1022-07"	149.559904850647
"TCGA-AA-3950-01A-02R-1022-07"	51.6891612180485
"TCGA-AA-3952-01A-01R-1022-07"	4.06279805459399
"TCGA-AA-3955-01A-02R-1022-07"	16.0660359170443
"TCGA-AA-3956-01A-02R-1022-07"	12.6591805908774
"TCGA-AA-3966-01A-01R-1113-07"	49.7062373795226
"TCGA-AA-3968-01A-01R-1022-07"	12.9010204964781
"TCGA-AA-3970-01A-01R-1022-07"	18.9375753445658
"TCGA-AA-3971-01A-01R-1022-07"	17.8247324062453
"TCGA-AA-3972-01A-01R-1022-07"	5.99273977559412
"TCGA-AA-3973-01A-01R-1022-07"	5.84919726111138
"TCGA-AA-3975-01A-01R-1022-07"	12.7538655359127
"TCGA-AA-3976-01A-01R-1022-07"	9.1296995159315
"TCGA-AA-3977-01A-01R-1022-07"	27.8854805615751
"TCGA-AA-3979-01A-01R-1022-07"	4.46043421022616
"TCGA-AA-3980-01A-02R-1022-07"	52.1033618895816
"TCGA-AA-3982-01A-02R-1022-07"	19.4424060388103
"TCGA-AA-3984-01A-02R-1022-07"	30.737227744283
"TCGA-AA-3986-01A-02R-1022-07"	19.9451582079765
"TCGA-AA-3989-01A-01R-1022-07"	17.295620394033
"TCGA-AA-3994-01A-01R-1113-07"	7.70238586263865
"TCGA-AA-A004-01A-01R-A00A-07"	28.7772916898957
"TCGA-AA-A00A-01A-01R-A002-07"	38.4837027212372
"TCGA-AA-A00D-01A-01R-A002-07"	65.6793484084343
"TCGA-AA-A00E-01A-01R-A002-07"	34.6586255498453
"TCGA-AA-A00F-01A-01R-A002-07"	10.8640842140988
"TCGA-AA-A00J-01A-02R-A002-07"	15.3694581693854
"TCGA-AA-A00K-01A-02R-A002-07"	8.83465463974737
"TCGA-AA-A00L-01A-01R-A002-07"	7.29639602313112
"TCGA-AA-A00N-01A-02R-A00A-07"	10.8034571725342
"TCGA-AA-A00O-01A-02R-A089-07"	22.4336323874346
"TCGA-AA-A00Q-01A-01R-A002-07"	6.97899996311514
"TCGA-AA-A00R-01A-01R-A002-07"	171.795402368044
"TCGA-AA-A00U-01A-01R-A002-07"	10.9850831259039
"TCGA-AA-A00W-01A-01R-A002-07"	7.15683577613801
"TCGA-AA-A00Z-01A-01R-A002-07"	6.11328136417765
"TCGA-AA-A010-01A-01R-A089-07"	22.9030626784718
"TCGA-AA-A017-01A-01R-A00A-07"	6.16835308892886
"TCGA-AA-A01C-01A-01R-A00A-07"	5.989299697618
"TCGA-AA-A01D-01A-01R-A00A-07"	8.38754407486133
"TCGA-AA-A01F-01A-01R-A002-07"	14.0763395838403
"TCGA-AA-A01G-01A-01R-A002-07"	15.6492909701342
"TCGA-AA-A01I-01A-02R-A089-07"	9.584186510719
"TCGA-AA-A01K-01A-01R-A00A-07"	13.1490389269979
"TCGA-AA-A01P-01A-21R-A083-07"	49.1703315152551
"TCGA-AA-A01Q-01A-01R-A002-07"	36.9598623641547
"TCGA-AA-A01R-01A-21R-A083-07"	41.81320003441
"TCGA-AA-A01S-01A-21R-A083-07"	0.832796627096556
"TCGA-AA-A01T-01A-21R-A16W-07"	3.68587234365558
"TCGA-AA-A01V-01A-23R-A083-07"	21.323700541435
"TCGA-AA-A01X-01A-21R-A083-07"	3.11516580675763
"TCGA-AA-A01Z-01A-11R-A083-07"	1.78752956912443
"TCGA-AA-A022-01A-21R-A16W-07"	68.0092332874991
"TCGA-AA-A024-01A-02R-A00A-07"	12.8644636262734
"TCGA-AA-A029-01A-01R-A00A-07"	7.00918562388189
"TCGA-AA-A02E-01A-01R-A00A-07"	11.2997109123274
"TCGA-AA-A02F-01A-01R-A089-07"	1.61624572085675
"TCGA-AA-A02H-01A-01R-A089-07"	5.6663670581803
"TCGA-AA-A02J-01A-01R-A00A-07"	2.23453537841038
"TCGA-AA-A02K-01A-03R-A32Y-07"	2.13564783397537
"TCGA-AA-A02O-01A-21R-A16W-07"	5.69212530815015
"TCGA-AA-A02R-01A-01R-A00A-07"	58.0907496658579
