Mixture	Tgd	CD8_Tem	Tte	MAIT	NK	Treg	CD4_Tem	CD8_Tem_PD1	Naive_like	HLADR_CD8	Tex	P-value	Correlation	RMSE
TCGA.A6.6140.01A.11R.1774.07	0.0428352563020961	0.173441681879888	0.104830538501163	0.0671872763570787	0.0673332943703328	0.0607702268656049	0.09194290007886	0.0860913059277393	0.0922496985462876	0.145680457727178	0.0676373634437713	0	0.789614189975484	0.683212589569568
TCGA.A6.6141.01A.11R.1774.07	0.0330415746528298	0.158109898573007	0.12096569871319	0.045054670731134	0.0777025906080524	0.0684013525169449	0.11477645375156	0.0679978273801925	0.0624794157811807	0.164407554490623	0.0870629628012848	0	0.701770253442543	0.734944589116984
TCGA.A6.6142.01A.11R.1774.07	0.0569083840818707	0.265964021090982	0.0996254624706359	0.0741619582412979	0.0949712833708121	0.0863213340117311	0.069734465104416	0.0442438985031028	0.099009371849833	0.00561614348508707	0.103443677790231	0	0.736127454447049	0.737374419950761
TCGA.A6.6648.01A.11R.1774.07	0.0490833483439704	0.261000802613936	0.0671421094437679	0.0482536049528854	0.0612520127028329	0.0744437244494759	0.0642052030647918	0.0827255699259731	0.137156205081706	0.120150830761748	0.0345865886589126	0	0.704569987740727	0.760781462908542
TCGA.A6.6649.01A.11R.1774.07	0.0482759806543686	0.121503305851252	0.114734747756395	0.0574287491646507	0.0929766541991156	0.0812188044251975	0.112113675743805	0.0701527784423178	0.0701897168845419	0.143928367148316	0.0874772197300394	0	0.810365133232182	0.656664639142197
TCGA.A6.6650.01A.11R.1774.07	0.0365755024388781	0.254903406168806	0.086157502110474	0.0671026151704412	0.0700994083809571	0.0635790134778472	0.100867935258355	0.0971297995731252	0.10006944677455	0.0574134371006872	0.0661019335458795	0	0.785531037231875	0.710232582517163
TCGA.A6.6650.01A.11R.A278.07	0.0341486157167772	0.250947759056654	0.0655695073165761	0.0733064874912595	0.0709750138405106	0.0651452004333258	0.103646503152468	0.129974468792033	0.108366065666319	0.0357321132960111	0.0621882652380647	0	0.73223957409911	0.745533494380378
TCGA.A6.6650.01B.02R.A277.07	0.022426457524493	0.268235849984605	0.0754330923238195	0.0866923052112388	0.0547339448263354	0.049019196744397	0.0507303217582275	0.0553257752209124	0.195055583794102	0.0863443877314958	0.0560030848803737	0	0.520335892721497	0.861405359043903
TCGA.A6.6651.01A.21R.1839.07	0.0519271187382901	0.201189727132732	0.101410685498452	0.0478330911604475	0.094878111488787	0.0811559091922755	0.078305541563077	0.0475565531986292	0.0818430952840607	0.134973295731008	0.0789268710122411	0	0.666424209807609	0.768140120480813
TCGA.A6.6652.01A.11R.1774.07	0.0722568773003737	0.213527499637603	0.104276090265784	0.071380273013695	0.0701338330545009	0.0974410258113364	0.0751411721025356	0.0775121276423591	0.117377130651939	0.0130960444161435	0.0878579261037296	0	0.70932866607559	0.752842366778888
TCGA.A6.6653.01A.11R.1774.07	0.0459930353513061	0.312517554328689	0.089093851699601	0.0604810522337189	0.0875977462613091	0.0694017513038695	0.102625029133731	0.0499494617466513	0.0926534551226546	0.0136797096924329	0.0760073531260372	0	0.737348353881695	0.743578179093264
TCGA.A6.6654.01A.21R.1839.07	0.065505031953265	0.21479253319273	0.0977601032671534	0.0710139896452877	0.122606593423029	0.0873964764492364	0.0837785083518845	0.02519427031547	0.0689184012833769	0.0627523598664353	0.100281732252132	0	0.717385909948482	0.739680311695106
TCGA.A6.6780.01A.11R.1839.07	0.0527583696098638	0.275382112426734	0.0756336091259234	0.0532267425057315	0.0944620376380331	0.0725205269946729	0.128493117778753	0.080973667302975	0.0733403121155579	0.0121463229037506	0.0810631815980049	0	0.747530647750809	0.732390366751018
TCGA.A6.6780.01A.11R.A278.07	0.0598524469977295	0.309723737935713	0.0247036419050574	0.0772631450597351	0.077487663298287	0.0723162800846502	0.0817909244313579	0.067067385461756	0.159081827262773	0.00505126448430352	0.0656616830786381	0	0.550031093615644	0.849002128724471
TCGA.A6.6780.01B.04R.A277.07	0.0518058833711368	0.247877997012781	0	0.106887868181265	0.128082926957508	0.0355631228288084	0.077902974997742	0.0476429915595755	0.210901109122871	0.0162141655137214	0.0771209604545912	0	0.389907309414258	0.923053253830587
TCGA.A6.6781.01A.22R.1928.07	0.0343416965878181	0.272144217513145	0.0995033180110055	0.0561081696190697	0.123396554469154	0.0803383186888158	0.0942213938326097	0.0480741112311453	0.069781968980521	0.0198920696177406	0.102198181448975	0	0.538398895184866	0.847231313740556
TCGA.A6.6781.01A.22R.A278.07	0.0300721407224752	0.271452828782219	0.0668591218929598	0.0818513348592553	0.108724100942479	0.0582002019413344	0.0829353580253638	0.0721553192517311	0.111253492336239	0.0315735571763512	0.0849225440695923	0	0.60600809504024	0.815093026066515
TCGA.A6.6781.01B.06R.A277.07	0.0212716753881935	0.229963214562495	0.0124523725921437	0.0849897717506358	0.210852163249775	0.0342819670670702	0	0.0118841731036939	0.312758401783592	0	0.0815462605024005	0	0.529906439558416	0.85419961908195
TCGA.A6.6782.01A.11R.1839.07	0.0592600124035214	0.235921701626615	0.0722454039139746	0.0622124009737907	0.122616007353168	0.0692397257504695	0.105382803501339	0.0595992416383889	0.103792539426734	0.0307712824810435	0.0789588809309548	0	0.795198067543347	0.702751270365393
TCGA.A6.A565.01A.31R.A28H.07	0.0355210216034765	0.123499382223182	0.111945081933683	0.0541113373878445	0.103750214400208	0.0485076559160093	0.126103544944866	0.062452133044511	0.101605160806109	0.156225051916502	0.0762794158236089	0	0.803357362232132	0.66178295036132
TCGA.A6.A566.01A.11R.A28H.07	0.0333407012803019	0.236880624875481	0.0964653624486344	0.052535949618342	0.109393690037307	0.0667851282078238	0.107578673764188	0.0702008763277547	0.0745352865967977	0.0583114752071532	0.0939722316362165	0	0.734463232249378	0.733128606206148
TCGA.A6.A567.01A.31R.A28H.07	0.0550831061141573	0.280514233201081	0.076989748549906	0.0750417170436782	0.0707518799717091	0.0942260122789903	0.0647997689844863	0.0708865878330009	0.1477321594775	0	0.0639747865454906	0	0.703731729864623	0.76675931700756
TCGA.A6.A56B.01A.31R.A28H.07	0.08375964411689	0.308942247132487	0.0787867567597124	0.0684899007095251	0.0621572421649482	0.0798199805166581	0.053327952129002	0.067210446131818	0.146041280003596	0	0.0514645503353623	0	0.746465893760801	0.749697508506216
