Mixture	CD4_Tem	CD8_Tem_GZMK_high	CD8_Tem_GZMK_low	CD8_Tem_PD1	HLADR_CD8	MAIT	Naive_like	NK	Tex	Tgd	Treg	Tte	P-value	Correlation	RMSE
TCGA.3L.AA1B.01A.11R.A37K.07	0.0828952434148113	0.0830380605934615	0.131265702220479	0.0487734238632652	0.112051408178473	0.0555656037063037	0.113497250618346	0.0638775400119353	0.0738711791274797	0.0536858701961223	0.0668896114453507	0.114589106623972	0	0.846669422628871	0.633171059472532
TCGA.4N.A93T.01A.11R.A37K.07	0.0943288886335042	0.0585601936162823	0.134755562734428	0.0692020101527469	0.115699053437551	0.0486548667995257	0.152752306667192	0.0501673086566326	0.0664076504062239	0.0495527929870741	0.0554621462345693	0.10445721967427	0	0.781170727196046	0.686779076337928
TCGA.4T.AA8H.01A.11R.A41B.07	0.101775053022163	0.103558821740725	0.156686311418672	0.0639432387529383	0.0795379457149545	0.0686316440849434	0.127141995781659	0.0442202134619566	0.0689018721914388	0.0401662775986405	0.0420483945261467	0.103388231705762	0	0.754518801381409	0.712800141090149
TCGA.5M.AAT4.01A.11R.A41B.07	0.126272334881785	0.138183513936275	0.135576770833429	0.0671594083351691	0.0141495833008284	0.054806273292547	0.165214582369093	0.0664188793121332	0.064315835531369	0.0562853342154395	0.0569236044106633	0.0546938795812679	0	0.714102330552111	0.754499649518981
TCGA.5M.AAT5.01A.21R.A41B.07	0.0825591638149124	0.104576873688426	0.125054579832256	0.0701554739990918	0.0829456656237016	0.0596421800736681	0.156788087818162	0.0618795740260025	0.0565979338130933	0.0619313309500914	0.0704619099104231	0.0674072264501724	0	0.764415170215058	0.716364754275474
TCGA.5M.AAT6.01A.11R.A41B.07	0.0754439115299082	0.141575689722057	0.131559272261794	0.0574714321557985	0.0461477541604883	0.0638049400564204	0.153466940321247	0.0895135303159779	0.0722909443080427	0.0582535908544199	0.0626041500370218	0.0478678442768241	0	0.627452954927963	0.803328107050319
TCGA.5M.AATA.01A.31R.A41B.07	0.0518839159749677	0.0912696457363215	0.148535949420184	0.0703259948409951	0.0927384625629835	0.0601737412745094	0.130475000206815	0.0745717354470044	0.0703903153664187	0.0612776310682658	0.0729458720158005	0.0754117360857345	0	0.781389261341685	0.701894213960586
TCGA.5M.AATE.01A.11R.A41B.07	0.0528715053114863	0.114482001186362	0.133929436270147	0.0700194392874153	0.0906160119564039	0.0663060078740537	0.137310230777269	0.048172249157402	0.0602519798772094	0.053458606805448	0.0706837283693412	0.101898803127462	0	0.764790273872144	0.708252866888973
TCGA.A6.2671.01A.01R.1410.07	0.0760948514461272	0.122284146682365	0.15633786276553	0.032780588597737	0.032720918230525	0.0675289538753697	0.106735611823615	0.0705117787227683	0.0881173719067238	0.0654246512621671	0.0969380569691108	0.0845252077179611	0	0.553726828090709	0.83763679406285
TCGA.A6.2671.11A.01R.A32Z.07	0.144925097390348	0.0483275125975158	0.12174110744696	0.0740238006505725	0.147298291775561	0.032332972855151	0.109180920829111	0.0766649036686485	0.0670489296237904	0.0339708872036382	0.0321886920389815	0.112296883919723	0	0.598871344729396	0.804007809986603
TCGA.A6.2672.01A.01R.0826.07	0.0957301445546374	0.130852418494512	0.131830413871933	0.0532027620955006	0.088612916125579	0.0508366924337475	0.10091423412663	0.0839128032391631	0.0914707789460092	0.0388751677580897	0.056612234354194	0.0771494340000033	0	0.67256498567139	0.767614221681831
TCGA.A6.2672.01B.03R.2302.07	0.072208301764608	0.111722373206876	0.166615508229698	0.0720345725409314	0.093353806394249	0.0888165321946408	0.136412300535516	0.0728931429650599	0.0696821435367633	0.0262881938432615	0.0287652940317981	0.0612078307565986	0	0.577557886886907	0.827116979878868
