Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.3L.AA1B.01A.11R.A37K.07	0.136966554551663	0	0.00615390326261914	0.0731947214800507	0	0.204735504637723	0.0204703983146207	0	0.0830947823014487	0	0.0540565706515941	0	0.0380272892826121	0.113262241875554	0.0225007720080753	0.119908967773722	0.0235030733804908	0	0.0475521385903426	0.0565730818894835	0	0	0.03	0.184000253627106	1.007043926531
TCGA.4N.A93T.01A.11R.A37K.07	0.059136327971597	0.0914339243526306	0.036044070411045	0.274512192800352	0	0.00442486493125358	0	0.161560884076707	0.0138023308193271	0	0.0627747050687886	0	0.0211891684187504	0.099911724583222	0	0	0	0.0085647789093019	0	0.162195116517964	0.00444991113906084	0	0.024	0.200665084112003	1.01985188112905
TCGA.4T.AA8H.01A.11R.A41B.07	0	0.00373692568441778	0.208578794780891	0.121172912308491	0	0.333188814743079	0.0105509769105721	0	0.0379123796267702	0	0.0124877479446997	0	0.00802623810615801	0.0831495666439363	0	0.0757040569908872	0.0637791641447919	0.029899145148419	0	0.0118132769668866	0	0	0.011	0.271637027979958	0.985400417125922
TCGA.5M.AAT4.01A.11R.A41B.07	0	0.0274376267344688	0.0100737811794288	0.242480035729709	0	0	0.0284301452379163	0.0630517137399947	0.0507606416245492	0	0	0.0345970895198022	0	0.250422424557886	0.0650257094293545	0.150431497303391	0	0	0	0.0476392772878165	0	0.0296500576556832	0.44	0.0198726032443986	1.09094203261031
TCGA.5M.AAT5.01A.21R.A41B.07	0.221014022620217	0	0.181248695496536	0.041449580466962	0	0.154268104358961	0.0702745171249105	0.0736069022389311	0.020289777391838	0	0	0.0125202938134309	0.00106678607572036	0.0750899022346463	0.0270341552415097	0.0700693474911378	0	0.0107698858497431	0.0412980295954559	0	0	0	0.026	0.19319087692759	1.03267274706982
TCGA.5M.AAT6.01A.11R.A41B.07	0.0292547334383925	0	0.0570144864045538	0.133323497172536	0	0.0512319709499801	0.103986532730419	0.0541955847413143	0.0515840759549554	0	0.0172829001641642	0	0	0.154311566294495	0.127880179906181	0.151661636349103	0.0222524590636837	0	0.0460203768302223	0	0	0	0.027	0.189321682833015	1.00655798552075
TCGA.5M.AATA.01A.31R.A41B.07	0.0409065372914851	0	0	0.0306245554094567	0	0.372868742689178	0.0406303608759862	0.0377644937258014	0.0720259582093857	0	0	0.0024676939971185	0.00954204074607915	0.187350378952682	0.0383178950605031	0.0390207461283645	0.00968738419858505	0.0365669570128105	0	0.0822262557025632	0	0	0.127	0.0987678765766979	1.05754424282784
TCGA.5M.AATE.01A.11R.A41B.07	0.0751138745641316	0	0.00401580783411519	0.0706951630656957	0	0.193672007320082	0.0364426993338843	0.0541664913171955	0.0334536925297919	0	0.0692508355284527	0	0	0.258486751203472	0.0417775797528121	0.106616093326965	0.0309501927312898	0	0	0.0253588114921126	0	0	0.124	0.100730316901435	1.05063860778017
TCGA.A6.2671.01A.01R.1410.07	0.0147015713201017	0	0.000476750967012899	0.0636890720932016	0	0.0557957633095162	0	0.0157826044608118	0.0483897793760615	0	0	0.0337256003829038	0.00505566723950554	0.353663869683257	0.0521504516912447	0.246586133362138	0	0.0104306205867869	0	0.0676418949189916	0	0.0319102206084674	0.024	0.200736971076947	1.02974220483579
TCGA.A6.2671.11A.01R.A32Z.07	0.0138693605118957	0	0.10142299537932	0.200758458147476	0	0.102210814843497	0	0.0369307165468097	0.0598724600610513	0	0	0.0322957107974274	0	0	0.0186104868266015	0.175531328087406	0.135507444472157	0	0.122990224326359	0	0	0	0.023	0.2046441897707	0.997489980075113
TCGA.A6.2672.01A.01R.0826.07	0.029620161659377	0	0.00218999756244021	0.152924752093319	0	0.0425985640548138	0.10858879275679	0.0517571188168182	0.0375365250357078	0	0.0866318390365792	0	0	0.266490026203801	0.0566876789305539	0.0721973646540104	0.00240931572826435	0.00881835073926012	0	0.0658264144562615	0	0.0157230982720027	0.018	0.226854561099175	0.998153105420062
TCGA.A6.2672.01B.03R.2302.07	0.00205801088033513	0	0.0063571591356807	0.0684936130917679	0	0.213404811472657	0.110346066427831	0.018285781856601	0	0	0.0995531372063371	0	0	0.198402544163023	0.104368965765263	0.102263008837909	0	0.0217607533010498	0.00754395114144931	0	0.0156796587984121	0.0314825379216846	0.16	0.0841195080885241	1.05874001422251
TCGA.A6.2674.01A.02R.0821.07	0.0955623516959982	0	0.00767981806148318	0.0153589830229951	0	0.0187691987140565	0.0107946890996155	0.0208840301765943	0.00887011124224327	0.0166905641851042	0	0	0	0.283396393609658	0.0328043309589907	0.124334409984881	0	0	0	0.237184313404849	0	0.127670805843532	0.02	0.212739708608718	1.02940576519768
TCGA.A6.2674.01A.02R.A278.07	0.0296709410826307	0	0.0107708302593013	0	0	0.106644990953366	0	0	0	0.000954561947343992	6.95236493206938e-05	0.0024856854230888	0	0.342567273458255	0.0126250145137541	0.131702546489468	0	0	0	0.181523487030571	0.0140769573558136	0.166908187837086	0.045	0.167707707646789	1.06077378836197
TCGA.A6.2674.01B.04R.A277.07	0.0110525865854699	0	0.00612356188897696	0	0.0125405857845678	0.13846385786577	0	0	0	0.00146194650806413	0.0292728561154918	0	0	0.367604896638192	0.0281826344333162	0.0732479995049682	0	0	0	0.14834923412619	0.0401511470554094	0.143548693493583	0.091	0.122511363133307	1.07542542858001
