Mixture	CD4_Tem	CD8_Tem_GZMK_high	CD8_Tem_GZMK_low	CD8_Tem_PD1	HLADR_CD8	MAIT	Naive_like	NK	Tex	Tgd	Treg	Tte	P-value	Correlation	RMSE
TCGA.05.4244.01A.01R.1107.07	0.0778059462722403	0.122573907092154	0.155415235130841	0.0475075916297682	0.0554075176157909	0.0512785214861295	0.127926058351388	0.104582384084488	0.0807070109896646	0.0308936307005949	0.0663796876195026	0.0795225090274383	0	0.722661878124443	0.752244321140474
TCGA.05.4249.01A.01R.1107.07	0.0766698830071531	0.0827678444794817	0.154542877828416	0.048674356682835	0.107147031119091	0.0570145251268609	0.108920032928704	0.0908511597386386	0.0623380819435288	0.0468943522480724	0.0759184202541941	0.0882614346430244	0	0.765360682423343	0.721937342053599
TCGA.05.4250.01A.01R.1107.07	0.0807496008494433	0.103958789754934	0.155940197793101	0.056133826842767	0.0664518925382261	0.0617794556242119	0.15634177688634	0.0836181677243497	0.0709186133661903	0.0372919126776074	0.0561262839610854	0.0706894819817442	0	0.582148007248557	0.83042731496223
TCGA.05.4382.01A.01R.1206.07	0.0925031839795616	0.0628162951119088	0.114137452640019	0.0656263737986831	0.122617053687716	0.0582149586617956	0.100742152969544	0.0955341741919814	0.0700671959379119	0.0449524740326933	0.0765206485894329	0.0962680363987526	0	0.678642994224535	0.767803499311744
TCGA.05.4384.01A.01R.1755.07	0.0926590640967281	0.0924644980907769	0.134169399469116	0.0504596153747405	0.0782146487594501	0.0498562593196037	0.113208213317143	0.0969656569630905	0.0781782673183454	0.0535493024025061	0.0804837987258252	0.0797912761626747	0	0.72960599025218	0.742323570531046
TCGA.05.4389.01A.01R.1206.07	0.100596839785842	0.101155467297136	0.116435703914901	0.0610798158578115	0.0915782063407658	0.0579133431184227	0.094094658317125	0.0719724632382657	0.0751515844200795	0.0456925197635911	0.0850067858743224	0.0993226120717369	0	0.677872795227687	0.771677775477525
TCGA.05.4390.01A.02R.1755.07	0.119656200821395	0.116565723421755	0.13351208075667	0.0359591113439859	0.101889120854646	0.052875275369735	0.0955926524341109	0.0544833730902828	0.0695805616801315	0.0551499121551466	0.0718267225013293	0.0929092655708124	0	0.690540115264125	0.76603981349361
TCGA.05.4395.01A.01R.1206.07	0.0864111663684991	0.113830379960187	0.0882042102437647	0.0459395463012732	0.111713198442221	0.0662512830194538	0.105401852415614	0.0802873025097542	0.0907431867738773	0.0481292296283017	0.0937733056434416	0.0693153386936124	0	0.624418779538061	0.800367871756729
TCGA.05.4396.01A.21R.1858.07	0.0935439222737719	0.109438465713216	0.186878822813044	0.0635545139846403	0.0443343510599027	0.0840349708198953	0.107144925726192	0.0731699400849712	0.0663968001990853	0.0148851729400757	0.0843197761053871	0.072298338279818	0	0.681085996815515	0.777661795709616
TCGA.05.4397.01A.01R.1206.07	0.0969301435964647	0.149302858213076	0.116759237312931	0.0557024328051264	0.0949964152783034	0.0578609880863018	0.0820084489026773	0.0668426039428479	0.0781558821902332	0.0387507890596801	0.0767505258236136	0.0859396747887445	0	0.66135049511937	0.785352415393785
TCGA.05.4398.01A.01R.1206.07	0.098176888628648	0.0514591710734195	0.14827099453197	0.0482650603185643	0.114076148700227	0.0536247430057215	0.109524120327105	0.100542783926383	0.0656124945154022	0.061920373552719	0.0602737646946457	0.0882534567251946	0	0.724380853549289	0.741528477930885
TCGA.05.4402.01A.01R.1206.07	0.106068449654954	0.0867359716381247	0.149661900361371	0.0494418438528582	0.105335537042406	0.0433646251208339	0.121900559392929	0.0838798565534228	0.0711974383759899	0.0451691504808246	0.0585982533491906	0.0786464141770948	0	0.722298702877105	0.749794283628993
TCGA.05.4403.01A.01R.1206.07	0.131105628375181	0.0661474609655909	0.143685563907539	0.0571335066108481	0.0961340200632764	0.0648787556994268	0.103621436535314	0.0949948607937687	0.0838949897248702	0.0273207879996649	0.0521942531188281	0.0788887362056922	0	0.650976775730702	0.786637021403684
TCGA.05.4405.01A.21R.1858.07	0.0862643623764107	0.0444353325671776	0.150839525855926	0.0526870252034475	0.11688993603032	0.0678676884250286	0.131177545859223	0.0870627289437424	0.0623216124167807	0.0550855249532357	0.0559925178095063	0.089376199559202	0	0.74933907759642	0.729187935953271
TCGA.05.4410.01A.21R.1858.07	0.0976787702743199	0.0358980398486118	0.158613196551655	0.0463866266030026	0.119624013092284	0.061577133464729	0.123577192536646	0.0720684273832485	0.0623683121433376	0.0505932133124908	0.072661941030451	0.0989531337592243	0	0.669690133075594	0.774277083110674
TCGA.05.4415.01A.22R.1858.07	0.0847057974810852	0.113718386233389	0.121208237014825	0.0706290402177644	0.108994088215639	0.0546888685440303	0.166532489886501	0.0338432116668231	0.0592076606457176	0.0635096794320794	0.0650095212485216	0.0579530194136245	0	0.440618779905078	0.89903821578756
TCGA.05.4417.01A.22R.1858.07	0.104996846102214	0.0664867543053991	0.115500427107792	0.0519475754794826	0.105807341331147	0.047699254011512	0.119486303486449	0.0947710176802288	0.0722637591137978	0.0550034697369092	0.0758134812207962	0.0902237704242722	0	0.710114885256903	0.749606844677917
TCGA.05.4418.01A.01R.1206.07	0.0749120890673829	0.0922530185403716	0.13099736945675	0.0495200322597829	0.144775076305473	0.0595890023422123	0.111902779401946	0.0741682269893956	0.0722010546604637	0.0350661987058924	0.0661492827214015	0.0884658695489281	0	0.734128247348549	0.739899090898259
